Area,Point Order,Polygon ID,Latitude,Longitude
Yishun,0.037700000,27,1.433369971,103.826477669
Yishun,0.037800000,27,1.433964449,103.826304652
Yishun,0.037900000,27,1.434528120,103.826146483
Yishun,0.038000000,27,1.435070988,103.825989355
Yishun,0.038100000,27,1.435363420,103.825884132
Yishun,0.038200000,27,1.435672773,103.825796951
Yishun,0.038300000,27,1.435739384,103.825966323
Yishun,0.038400000,27,1.435794970,103.826104044
Yishun,0.038500000,27,1.436017336,103.826658156
Yishun,0.038600000,27,1.436123048,103.826904428
Yishun,0.038700000,27,1.436493692,103.827751175
Yishun,0.038800000,27,1.436496015,103.827756406
Yishun,0.038900000,27,1.436541055,103.827815405
Yishun,0.039000000,27,1.436576679,103.827862982
Yishun,0.039100000,27,1.436648002,103.827939528
Yishun,0.039200000,27,1.436726864,103.828020550
Yishun,0.039300000,27,1.436777189,103.828073105
Yishun,0.039400000,27,1.436833501,103.828125965
Yishun,0.039500000,27,1.436902287,103.828195115
Yishun,0.039600000,27,1.437035560,103.828295914
Yishun,0.039700000,27,1.437223171,103.828448863
Yishun,0.039800000,27,1.437367491,103.828570215
Yishun,0.039900000,27,1.437505572,103.828682531
Yishun,0.040000000,27,1.437606800,103.828763068
Yishun,0.040100000,27,1.437625215,103.828776568
Yishun,0.040200000,27,1.437818849,103.828931319
Yishun,0.040300000,27,1.437918624,103.829006236
Yishun,0.040400000,27,1.437974086,103.829049905
Yishun,0.040500000,27,1.438040625,103.829091570
Yishun,0.040600000,27,1.438126058,103.829144403
Yishun,0.040700000,27,1.438163505,103.829165550
Yishun,0.040800000,27,1.438235313,103.829202826
Yishun,0.040900000,27,1.438312970,103.829235482
Yishun,0.041000000,27,1.438378203,103.829261410
Yishun,0.041100000,27,1.438463352,103.829291138
Yishun,0.041200000,27,1.438533592,103.829312891
Yishun,0.041300000,27,1.438602895,103.829337606
Yishun,0.041400000,27,1.439139089,103.829494189
Yishun,0.041500000,27,1.439194759,103.829510185
Yishun,0.041600000,27,1.439365849,103.829558953
Yishun,0.041700000,27,1.439398650,103.829568165
Yishun,0.041800000,27,1.441221477,103.830080210
Yishun,0.041900000,27,1.441259715,103.830094025
Yishun,0.042000000,27,1.441323885,103.830119526
Yishun,0.042100000,27,1.441389734,103.830150746
Yishun,0.042200000,27,1.441455733,103.830183255
Yishun,0.042300000,27,1.441537152,103.830237758
Yishun,0.042400000,27,1.441626812,103.830314355
Yishun,0.042500000,27,1.441691652,103.830392519
Yishun,0.042600000,27,1.441818814,103.830561970
Yishun,0.042700000,27,1.441910807,103.830723521
Yishun,0.042800000,27,1.442353606,103.831501129
Yishun,0.042900000,27,1.445050797,103.835869993
Yishun,0.043000000,27,1.445616475,103.836693822
Yishun,0.043100000,27,1.445362305,103.836886092
Yishun,0.043200000,27,1.445102535,103.837125079
Yishun,0.043300000,27,1.444698604,103.837541576
Yishun,0.043400000,27,1.444337540,103.837931992
Yishun,0.043500000,27,1.444029573,103.838322408
Yishun,0.043600000,27,1.443700368,103.838765584
Yishun,0.043700000,27,1.443386936,103.839248713
Yishun,0.043800000,27,1.443144940,103.839621025
Yishun,0.043900000,27,1.442614110,103.840520781
Yishun,0.044000000,27,1.442333082,103.840939633
Yishun,0.044100000,27,1.442005216,103.841389509
Yishun,0.044200000,27,1.441529030,103.842017787
Yishun,0.044300000,27,1.440646915,103.843080426
Yishun,0.044400000,27,1.440201953,103.843631137
Yishun,0.044500000,27,1.439743517,103.844145527
Yishun,0.044600000,27,1.439557239,103.844324499
Yishun,0.044700000,27,1.439355181,103.844518633
Yishun,0.044800000,27,1.439301349,103.844567721
Yishun,0.044900000,27,1.438955103,103.844832680
Yishun,0.045000000,27,1.437646301,103.845503433
Yishun,0.045100000,27,1.437441574,103.845571589
Yishun,0.045200000,27,1.437176650,103.845659784
Yishun,0.045300000,27,1.436309945,103.845948318
Yishun,0.045400000,27,1.436028519,103.846052766
Yishun,0.045500000,27,1.435745094,103.846181027
Yishun,0.045600000,27,1.435527938,103.846302159
Yishun,0.045700000,27,1.435352452,103.846400048
Yishun,0.045800000,27,1.434938459,103.846666518
Yishun,0.045900000,27,1.434732493,103.846824403
Yishun,0.046000000,27,1.434284743,103.847235068
Yishun,0.046100000,27,1.433334135,103.848227511
Yishun,0.046200000,27,1.429499614,103.852182584
Yishun,0.046300000,27,1.428957704,103.852819382
Yishun,0.046400000,27,1.428514965,103.853400390
Yishun,0.046500000,27,1.428080500,103.854087161
Yishun,0.046600000,27,1.427789786,103.854630410
Yishun,0.046700000,27,1.427632283,103.854975671
Yishun,0.046800000,27,1.427335337,103.855626608
Yishun,0.046900000,27,1.425528420,103.857328474
Yishun,0.047000000,27,1.425503441,103.857317839
Yishun,0.047100000,27,1.425504128,103.857318161
Yishun,0.047200000,27,1.425348398,103.857665724
Yishun,0.047300000,27,1.425347231,103.857684587
Yishun,0.047400000,27,1.425345990,103.857704612
Yishun,0.047500000,27,1.425347737,103.857741330
Yishun,0.047600000,27,1.425365252,103.857779034
Yishun,0.047700000,27,1.425383095,103.857808979
Yishun,0.047800000,27,1.425410208,103.857825727
Yishun,0.047900000,27,1.425409749,103.857826942
Yishun,0.048000000,27,1.425417385,103.857832531
Yishun,0.048100000,27,1.425429413,103.857846349
Yishun,0.048200000,27,1.425436518,103.857854513
Yishun,0.048300000,27,1.425443487,103.857866599
Yishun,0.048400000,27,1.425449344,103.857878763
Yishun,0.048500000,27,1.425453554,103.857887507
Yishun,0.048600000,27,1.425454681,103.857929825
